state,state_name,place_name,census_name,geoid,population_2024,latitude,longitude,coordinate_source,geometry_precision,matched_town_hall_rows_with_coordinates,population_per_town_hall,land_area_sqmi,water_area_sqmi,match_status,source_population_dataset,source_coordinate_dataset,dominant_people_profile,town_hall_name,town_hall_address,town_hall_locality,town_hall_latitude,town_hall_longitude
TX,Texas,Richmond,Richmond city,4861892,13305,29.582200,-95.764073,town_hall,point,1,13305.00,4.305,0.378,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Richmond City Hall,600 Morton St,"Richmond, TX 77469",29.582200,-95.764073
TX,Texas,Richwood,Richwood city,4861904,4835,29.063871,-95.402229,census_place_centroid,point,0,,4.467,0.288,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Riesel,Riesel city,4862108,1063,31.473861,-96.945142,census_place_centroid,point,0,,4.164,0.016,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Rio Bravo,Rio Bravo city,4862138,4436,27.364717,-99.484526,census_place_centroid,point,0,,0.65,0.016,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Rio Grande City,Rio Grande City city,4862168,15526,26.363282,-98.789588,town_hall,point,3,5175.33,11.351,0.,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Escobares City Hall,4829 E US Highway 83,"Rio Grande City, TX 78582",26.363282,-98.789588
TX,Texas,Rio Hondo,Rio Hondo city,4862180,2311,26.234627,-97.581466,census_place_centroid,point,0,,1.689,0.127,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Rio Vista,Rio Vista city,4862240,1216,32.234545,-97.374835,census_place_centroid,point,0,,1.101,0.003,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Rising Star,Rising Star town,4862252,778,32.097634,-98.96652,census_place_centroid,point,0,,1.727,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,River Oaks,River Oaks city,4862384,7505,32.778950,-97.393537,town_hall,point,3,2501.67,2.029,0.,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,River Oaks City Hall,4900 River Oaks Blvd,"River Oaks, TX 76114",32.778950,-97.393537
TX,Texas,Riverside,Riverside city,4862408,612,30.848298,-95.398863,census_place_centroid,point,0,,2.014,0.175,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
